name,amount
40224,152
40159,1
14850,1
10299,1
40220,233
40223,203
40222,117
54452,23
40150,5
40229,328
40228,99
41017,1
55343,7
47122,6
37840,1
47126,6
44255,24
47124,5
14075,1
47163,2
47129,31
47137,1
33809,1
36272,1
60056,1
12454,3
40109,16
47164,1
80439,1
14472,8
40484,1
42104,1
14779,24
40769,1
40252,5
42765,1
44266,1
40004,18
40046,5
40006,3
40258,202
40008,2
45242,1
63764,1
63959,1
47629,1
45230,3
40232,1
53718,1
40383,1
45231,12
47231,2
42101,1
45223,1
33884,7
39475,1
30905,1
47138,2
85087,1
41075,1
40026,24
47135,7
47136,6
46545,27
47130,45
41094,3
90804,1
4096,1
21770,1
41097,1
35031,1
42368,1
60618,17
55033,3
21230,30
40013,3
40011,3
42757,1
40014,37
30152,1
40107,2
40935,1
47520,5
40203,124
40202,11
45219,1
62918,1
40207,158
40206,284
40205,549
40204,198
45213,1
45212,2
45211,2
40208,180
11105,1
78746,1
45305,1
52803,1
46260,2
46615,4
47141,1
47140,1
47143,3
47142,1
40177,1
37849,1
EMPTY,9865
78616,2
46254,1
47408,1
38372,1
21740,1
60126,1
40422,1
55419,2
60629,2
38401,19
90046,1
42420,1
42351,1
40146,2
42748,6
42103,7
40142,3
43054,2
55428,68
76068,1
25425,1
40023,17
40216,384
42210,2
42211,1
60120,1
40356,36
40218,289
40219,268
40601,5
40214,1311
40215,631
40047,63
40217,169
40210,85
40211,147
40212,121
40213,141
54724,1
44133,1
45040,1
45202,1
47150,40
60008,31
21207,1
42021,1
16652,2
12518,1
47220,2
5401,1
47117,3
19047,3
97229,1
98023,1
61832,1
60631,2
42431,1
53144,3
47803,1
40324,1
37129,2
41031,2
40031,143
36521,2
55417,1
40037,3
47167,1
40268,4
47165,3
41056,1
37803,1
47162,25
47161,3
40059,84
11946,3
45177,2
40591,11
40055,8
41219,1
42716,1
4435,2
40511,1
47304,2
40517,1
46368,1
40515,3
40475,1
40257,1
43235,1
41018,2
60011,1
43231,1
47302,115
46061,6
37412,1
40291,283
55316,6
43138,1
93744,2
40299,452
47250,12
18503,1
40121,20
40127,1
57069,1
46410,3
97215,4
47119,8
43035,1
40209,6
42724,1
60563,1
45692,1
47172,13
55321,10
41042,1
40256,2
42348,1
30319,1
40272,405
40379,1
30135,2
55379,263
33040,1
40065,58
41016,1
37205,1
40508,2
48042,1
40504,3
40505,1
47542,1
7843,3
40503,3
42240,2
40129,2
40342,6
28334,1
13077,1
42003,2
40056,3
42718,2
40057,2
2740,4
18510,1
32159,1
1748,3
40119,1
40118,96
40117,2
38120,1
21005,1
60033,4
47404,1
41071,1
55363,38
40070,1
40175,17
46365,1
40176,1
40360,1
41008,3
19320,3
47106,5
47101,1
27021,1
40068,4
42729,1
46962,4
42701,19
42702,1
37174,1
37172,1
40075,2
45419,1
14004,1
47243,1
40108,5
30316,1
45157,9
37069,6
40744,1
19426,4
13104,22
1118,1
47274,1
40104,3
40242,50
41072,1
40003,2
47720,1
55443,16
40067,6
46180,1
40165,142
40162,2
47210,1
40160,27
60048,1
10508,1
47114,1
11552,20
47112,7
44308,5
21158,2
47111,11
48726,1
41005,1
22948,11
24482,1
47118,2
49236,1
42304,6
47185,2
80916,1
42303,2
3224,1
46055,1
40246,1
40245,122
40077,10
40243,55
40071,33
40241,107
38341,1
45255,3
47577,1
